timestamp,status,direction,grade,trend,pullback,rejection,volume,open_interest,poc,vah,val,vwap_pullback,vwap_rejection,setup,long_blocked_ema,short_blocked_ema,long_blocked_vwap,short_blocked_vwap,bar_start,current_price,open,high,low,close,bar_volume,sma20_volume,elapsed_seconds,ema_10,vwap,ema_slope,engine_version
2026-08-20T14:26:13.935003+05:30,ENTRY,Short,B,Bearish,Bearish,Bearish,Normal,Flat,Below,Below,Below,None,Bearish,ema,,,,pullback,2026-08-20T14:25:00+05:30,57699.2,57709.0,57736.0,57696.4,57699.2,1260.0,4965.0,73.935003,57734.49616276483,57754.6037571044,-5.599999999998545,fd8e6f05
2026-08-20T14:26:53.950564+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Normal,Flat,Below,Below,Above,None,None,,,,,,2026-08-20T14:25:00+05:30,57722.6,57709.0,57736.0,57694.0,57722.6,1890.0,4965.0,113.950564,57738.75070821938,57754.533245697894,1.9636363636382157,fd8e6f05
2026-08-20T14:27:03.954193+05:30,WAIT,Neutral,Ignore,Bearish,Bearish,Bearish,Normal,Flat,Below,Below,Rejected,None,Bearish,,,level,,,2026-08-20T14:25:00+05:30,57705.8,57709.0,57736.0,57694.0,57705.8,1890.0,4965.0,123.954193,57735.696162764834,57754.533245697894,-0.5818181818176527,fd8e6f05
2026-08-20T14:27:05.955028+05:30,ENTRY,Short,B,Bearish,Bearish,Bearish,Normal,Flat,Below,Below,Below,None,Bearish,ema,,,,pullback,2026-08-20T14:25:00+05:30,57701.6,57709.0,57736.0,57694.0,57701.6,1980.0,4965.0,125.955028,57734.93252640119,57754.52400979748,0.9454545454500476,fd8e6f05
2026-08-20T14:27:37.965815+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Normal,Flat,Below,Below,Above,None,None,,,,,,2026-08-20T14:25:00+05:30,57734.0,57709.0,57736.0,57694.0,57734.0,2550.0,4965.0,157.965815,57740.8234354921,57754.46827783745,7.090909090904461,fd8e6f05
2026-08-20T14:27:49.969726+05:30,WAIT,Neutral,Ignore,Neutral,None,Bearish,Normal,Flat,Below,Below,Rejected,None,Bearish,,,,,,2026-08-20T14:25:00+05:30,57708.6,57709.0,57736.0,57694.0,57708.6,2640.0,4965.0,169.969726,57736.20525367392,57754.46309886045,1.5636363636367605,fd8e6f05
2026-08-20T14:28:03.974733+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Normal,Flat,Below,Below,Rejected,None,None,,,,,,2026-08-20T14:25:00+05:30,57712.4,57709.0,57736.0,57694.0,57712.4,2730.0,4965.0,183.974733,57736.89616276483,57754.455344786445,1.1999999999970896,fd8e6f05
2026-08-20T14:28:09.976756+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Normal,Flat,Below,Below,Above,None,None,,,,,,2026-08-20T14:25:00+05:30,57734.0,57709.0,57736.0,57694.0,57734.0,2940.0,4965.0,189.976756,57740.8234354921,57754.43907936318,5.890909090907371,fd8e6f05
2026-08-20T14:28:19.980001+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Normal,Flat,Below,Below,Rejected,None,None,,,,,,2026-08-20T14:25:00+05:30,57711.8,57709.0,57736.0,57694.0,57711.8,3150.0,4965.0,199.980001,57736.78707185574,57754.42790559065,1.8909090909073711,fd8e6f05
2026-08-20T14:28:25.981968+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Normal,Flat,Below,Below,Above,None,None,,,,,,2026-08-20T14:25:00+05:30,57720.0,57709.0,57736.0,57694.0,57720.0,3210.0,4965.0,205.981968,57738.27798094665,57754.423802145415,3.381818181820563,fd8e6f05
2026-08-20T14:29:05.996484+05:30,WAIT,Neutral,Ignore,Neutral,Bearish,Bearish,Normal,Flat,Below,Below,Rejected,None,Bearish,,,,,,2026-08-20T14:25:00+05:30,57705.6,57709.0,57736.0,57694.0,57705.6,3540.0,4965.0,245.996484,57735.659799128465,57754.39524745399,-1.2363636363661499,fd8e6f05
2026-08-20T14:29:09.997915+05:30,WAIT,Neutral,Ignore,Bearish,Bearish,Bearish,Normal,Flat,Below,Below,Rejected,None,Bearish,,,level,,,2026-08-20T14:25:00+05:30,57705.6,57709.0,57736.0,57694.0,57705.6,3690.0,4965.0,249.997915,57735.659799128465,57754.380721600384,-5.163636363635305,fd8e6f05
2026-08-20T14:29:48.011279+05:30,WAIT,Neutral,Ignore,Bearish,Bearish,Bearish,Low,Flat,Below,Below,Rejected,None,Bearish,,,,,,2026-08-20T14:25:00+05:30,57706.4,57709.0,57736.0,57694.0,57706.4,3810.0,4965.0,288.011279,57735.80525367392,57754.3693452381,-2.4727272727322998,fd8e6f05
2026-08-20T14:30:00.015385+05:30,WAIT,Neutral,Ignore,Bearish,Bearish,Bearish,Normal,Flat,Below,Below,Rejected,None,Bearish,,,level,,,2026-08-20T14:25:00+05:30,57706.4,57709.0,57736.0,57694.0,57706.4,4020.0,4657.5,300.0,57735.80525367392,57754.34936633545,-2.4727272727322998,fd8e6f05
2026-08-20T14:30:02.017069+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Unknown,Flat,Below,Below,Below,None,Bearish,,,,,,2026-08-20T14:30:00+05:30,57703.6,57706.4,57706.4,57703.6,57703.6,120.0,4657.5,2.017069,57729.94975300593,57754.337291059426,-8.328227940721263,fd8e6f05
2026-08-20T14:30:30.025837+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Low,Flat,Below,Below,Below,None,Bearish,,,,,,2026-08-20T14:30:00+05:30,57703.6,57706.4,57706.4,57703.6,57703.6,330.0,4657.5,30.025837,57729.94975300593,57754.31617314782,-5.855500667988963,fd8e6f05
2026-08-20T14:30:42.030056+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Low,Falling,Below,Below,Below,None,Bearish,,,,,,2026-08-20T14:30:00+05:30,57701.4,57706.4,57706.4,57701.4,57701.4,390.0,4657.5,42.030056,57729.54975300594,57754.31001189061,-6.255500667983142,fd8e6f05
2026-08-20T14:30:50.032646+05:30,WAIT,Neutral,Ignore,Bearish,None,None,High,Falling,Below,Below,Above,None,None,,,,,,2026-08-20T14:30:00+05:30,57725.0,57706.4,57725.0,57701.4,57725.0,1200.0,4657.5,50.032646,57733.840662096845,57754.2630379296,-1.9645915770743159,fd8e6f05
2026-08-20T14:31:18.041886+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Normal,Falling,Below,Below,Above,None,None,,,,,,2026-08-20T14:30:00+05:30,57725.0,57706.4,57725.0,57701.4,57725.0,1500.0,4657.5,78.041886,57733.840662096845,57754.2456783532,3.890909090914647,fd8e6f05
2026-08-20T14:31:52.053482+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Normal,Falling,Below,Below,Rejected,None,None,,,,,,2026-08-20T14:30:00+05:30,57707.8,57706.4,57725.0,57701.4,57707.8,1680.0,4657.5,112.053482,57730.71338936957,57754.23221253632,-3.127272727273521,fd8e6f05
2026-08-20T14:31:54.054335+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Normal,Falling,Below,Below,Above,None,None,,,,,,2026-08-20T14:30:00+05:30,57725.0,57706.4,57725.0,57701.4,57725.0,1890.0,4657.5,114.054335,57733.840662096845,57754.22008298755,0.0,fd8e6f05
