timestamp,status,direction,grade,trend,pullback,rejection,volume,open_interest,poc,vah,val,current_price,open,high,low,bar_volume,sma20_volume,elapsed_seconds,ema_10,vwap,ema_slope,engine_version
2026-08-05T15:35:01.528532+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Unknown,Flat,Below,Below,Below,57821.0,57821.0,57821.0,57821.0,30.0,4152.0,1.528532,57815.97559997181,57973.79718620137,-1.974375751313346,b69f1c49
2026-08-05T15:35:30.506983+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Low,Flat,Below,Below,Below,57838.0,57821.0,57838.0,57821.0,330.0,4152.0,30.506983,57819.06650906272,57973.72862933493,1.1165333395983907,b69f1c49
2026-08-05T15:35:32.511421+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Unknown,Flat,Below,Below,Below,57830.0,57821.0,57838.0,57821.0,420.0,4152.0,32.511421,57817.61196360817,57973.70705493846,-0.33801211495301686,b69f1c49
2026-08-05T15:35:38.540245+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Low,Flat,Below,Below,Below,57830.0,57821.0,57838.0,57821.0,420.0,4152.0,38.540245,57817.61196360817,57973.70705493846,-0.33801211495301686,b69f1c49
2026-08-05T15:36:18.756622+05:30,WAIT,Neutral,Ignore,Neutral,None,Bullish,Unknown,Flat,Below,Below,Below,57825.0,57821.0,57838.0,57820.0,930.0,4152.0,78.756622,57816.70287269908,57973.577473378995,-2.363636363639671,b69f1c49
2026-08-05T15:36:22.771653+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Normal,Flat,Below,Below,Below,57818.6,57821.0,57838.0,57818.6,1050.0,4152.0,82.770805,57815.53923633545,57973.54648872894,-3.527272727274976,b69f1c49
2026-08-05T15:36:25.735226+05:30,WAIT,Neutral,Ignore,Neutral,None,Bullish,Normal,Flat,Below,Below,Below,57830.0,57821.0,57838.0,57818.6,1050.0,4152.0,85.735226,57817.61196360817,57973.54648872894,-1.4545454545514076,b69f1c49
2026-08-05T15:36:48.776565+05:30,WAIT,Neutral,Ignore,Neutral,None,Bullish,Low,Flat,Below,Below,Below,57835.0,57821.0,57838.0,57818.6,1200.0,4152.0,108.775717,57818.52105451727,57973.511373176094,0.9090909090955392,b69f1c49
2026-08-05T15:36:51.810285+05:30,WAIT,Neutral,Ignore,Neutral,None,Bullish,Normal,Flat,Below,Below,Below,57830.0,57821.0,57838.0,57818.6,1320.0,4152.0,111.809268,57817.61196360817,57973.482693844926,0.0,b69f1c49
2026-08-05T15:36:58.834783+05:30,WAIT,Neutral,Ignore,Neutral,Bearish,Bearish,Normal,Flat,Below,Below,Below,57812.0,57821.0,57838.0,57812.0,1320.0,4152.0,118.834783,57814.33923633544,57973.482693844926,-1.6727272727293894,b69f1c49
2026-08-05T15:37:02.877667+05:30,WAIT,Neutral,Ignore,Neutral,Bearish,Bearish,Low,Flat,Below,Below,Below,57812.0,57821.0,57838.0,57812.0,1350.0,4152.0,122.876776,57814.33923633544,57973.47462656742,-1.6727272727293894,b69f1c49
2026-08-05T15:37:07.920706+05:30,WAIT,Neutral,Ignore,Neutral,Bearish,Bearish,Normal,Flat,Below,Below,Below,57811.0,57821.0,57838.0,57811.0,1620.0,4152.0,127.920706,57814.15741815363,57973.4016578448,-1.8545454545455868,b69f1c49
2026-08-05T15:37:30.937491+05:30,ENTRY,Short,B,Bearish,Bearish,Bearish,Normal,Flat,Below,Below,Below,57802.0,57821.0,57838.0,57802.0,1860.0,4152.0,150.932489,57812.52105451727,57973.33560946391,-6.0,b69f1c49
2026-08-05T15:37:48.904956+05:30,WAIT,Neutral,Ignore,Bearish,Bearish,Bearish,Low,Flat,Below,Below,Below,57802.0,57821.0,57838.0,57802.0,1860.0,4152.0,168.904956,57812.52105451727,57973.33560946391,-6.0,b69f1c49
2026-08-05T15:38:48.056042+05:30,ENTRY,Short,B,Bearish,Bearish,Bearish,Normal,Flat,Below,Below,Below,57791.0,57821.0,57838.0,57791.0,2940.0,4152.0,228.053033,57810.52105451727,57973.01776781266,-2.0,b69f1c49
2026-08-05T15:39:44.293005+05:30,ENTRY,Short,A,Bearish,Bearish,Bearish,High,Flat,Below,Below,Below,57783.2,57821.0,57838.0,57783.2,5430.0,4152.0,284.290399,57809.102872699084,57972.25008683571,-3.4181818181823473,b69f1c49
2026-08-05T15:40:02.316076+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Unknown,Flat,Below,Below,Below,57800.0,57800.0,57800.0,57800.0,0.0,4362.0,2.316076,57809.94697848933,57972.22444929549,-0.39225784611335257,b69f1c49
2026-08-05T15:40:09.353414+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Unknown,Falling,Below,Below,Below,57790.0,57800.0,57800.0,57790.0,0.0,4362.0,9.353414,57808.128796671146,57972.22444929549,-1.9195305733883288,b69f1c49
2026-08-05T15:40:30.393219+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Low,Falling,Below,Below,Below,57803.0,57800.0,57803.0,57790.0,270.0,4362.0,30.389212,57810.492433034786,57972.14390280189,0.15319669934251579,b69f1c49
2026-08-06T09:30:53.706734+05:30,WAIT,Neutral,Ignore,Unknown,None,None,Low,Flat,Above,Above,Above,57991.6,57975,58000,57975,390,6856.5,53.704735,57902.29097783429,57949.43621268327,,1904c465
2026-08-06T09:32:14.013485+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Low,Flat,Above,Above,Above,58000.0,57975,58000,57975,1800,6856.5,134.013485,57903.81825056156,57950.44139951741,1.7818181818147423,1904c465
2026-08-06T09:33:17.110183+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Low,Flat,Above,Rejected,Above,57974.0,57975,58000,57974.0,2910,6856.5,197.110183,57899.09097783429,57951.10150515813,-4.545454545455868,1904c465
2026-08-06T09:33:23.154493+05:30,WAIT,Neutral,Ignore,Neutral,None,Bullish,Low,Flat,Above,Above,Above,57998.0,57975,58000,57970.0,3600,6856.5,203.15349,57903.45461419793,57951.54416583083,-0.36363636363239493,1904c465
2026-08-06T09:33:26.185255+05:30,WAIT,Neutral,Ignore,Neutral,None,Bullish,Normal,Flat,Above,Above,Above,57985.0,57975,58000,57970.0,4110,6856.5,206.185255,57901.09097783429,57951.8269849163,-0.4000000000014552,1904c465
2026-08-06T09:33:48.236241+05:30,WAIT,Neutral,Ignore,Neutral,None,Bullish,Low,Flat,Above,Above,Above,57982.4,57975,58000,57970.0,4170,6856.5,228.236241,57900.618250561565,57951.85865209472,-2.2909090909088263,1904c465
2026-08-06T09:34:15.412357+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Low,Flat,Above,Rejected,Above,57970.0,57975,58000,57970.0,4380,6856.5,255.412357,57898.36370510702,57952.02191419142,-2.8363636363646947,1904c465
2026-08-06T09:34:25.455995+05:30,WAIT,Neutral,Ignore,Neutral,None,Bullish,Low,Flat,Above,Above,Above,57990.0,57975,58000,57970.0,4620,6856.5,265.455995,57902.00006874338,57952.09717291256,0.7636363636338501,1904c465
2026-08-06T09:34:51.531739+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Low,Flat,Above,Rejected,Above,57973.2,57975,58000,57970.0,5250,6856.5,291.531739,57898.945523288836,57952.490320481535,-1.6727272727293894,1904c465
2026-08-06T09:34:55.531882+05:30,WAIT,Neutral,Ignore,Neutral,None,Bullish,Low,Flat,Above,Above,Above,57989.4,57975,58000,57970.0,5370,6856.5,295.531882,57901.89097783429,57952.53067056341,1.2727272727279342,1904c465
